seq_id,geography,naicscode,naicstitle,naics_3d,naics_4d,naics_5_6d,years,c_employee,c_dv_added,c_dv_ship
1,United States,311,Food,311,,,2010,871.7,4.3,1.8
2,United States,3112,Food: Grain and Oil seed Milling,,3112,,2010,6239.5,10.5,3.6
3,United States,311221,Food: Wet Corn Milling,,,311221,2010,28965.0,27.1,12.6
4,United States,31131,Food: Sugar Manufacturing,,,31131,2010,7755.9,32.6,13.4
5,United States,3114,Food: Fruit and Vegetable Preserving and Specialty Foods,,3114,,2010,861.3,4.8,2.2
6,United States,3115,Food: Dairy Products,,3115,,2010,854.8,3.5,1.1
7,United States,3116,Food:Animal Slaughtering and Processing,,3116,,2010,442.9,3.5,1.2
8,United States,312,Beverage and Tobacco Products,312,,,2010,652.7,1.1,0.7
9,United States,3121,Beverage and Tobacco Products: Beverages,,3121,,2010,645.7,1.7,0.9
10,United States,3122,Beverage and Tobacco Products: Tobacco,,3122,,2010,714.9,0.3,0.2
11,United States,313,Textile Mills,313,,,2010,847.0,7.1,3.3
12,United States,314,Textile Product Mills,314,,,2010,224.1,2.4,1.2
13,United States,315,Apparel,315,,,2010,78.9,0.9,0.5
14,United States,316,Leather and AlliedProducts,316,,,2010,77.3,1.0,0.4
15,United States,321,Wood Products,321,,,2010,1508.3,16.3,6.9
16,United States,321113,Wood Products: Sawmills,,,321113,2010,3633.2,35.9,14.4
17,United States,3212,Wood Products: Veneer; Plywood; and EngineeredWoods,,3212,,2010,3320.6,32.6,12.9
18,United States,321219,Wood Products: Reconstituted Wood Products,,,321219,2010,5999.2,39.8,15.9
19,United States,3219,Wood Products: Other Wood Products,,3219,,2010,260.0,3.1,1.4
20,United States,322,Wood Products: Paper,322,,,2010,6021.8,26.4,12.1
21,United States,322110,Wood Products: Pulp Mills,,,322110,2010,38433.9,148.6,60.8
22,United States,322121,Wood Products: Paper Mills; except News print,,,322121,2010,12886.3,34.1,18.4
23,United States,322122,Wood Products: Newsprint Mills,,,322122,2010,18286.1,71.0,27.5
24,United States,322130,Wood Products: Paper board Mills,,,322130,2010,24767.1,62.7,31.3
25,United States,323,Printing and Related Support,323,,,2010,207.2,1.9,1.1
26,United States,324,Petroleum and Coal Products,324,,,2010,34542.7,35.1,5.3
27,United States,324110,Petroleum and Coal Products: Petroleum Refineries,,,324110,2010,50778.2,39.5,5.4
28,United States,324121,Petroleum and Coal Products: Asphalt Paving MixtureandBlock,,,324121,2010,4824.5,11.4,4.3
29,United States,324199,Petroleum and Coal Products: Other Petroleum and Coal Products,,,324199,2010,20463.3,44.0,14.5
30,United States,325,Chemicals,325,,,2010,5007.7,7.3,3.9
31,United States,325110,Chemicals: Petro chemicals,,,325110,2010,66746.2,16.9,7.3
32,United States,325120,Chemicals: Industrial Gases,,,325120,2010,12315.8,24.3,15.3
33,United States,325181,Chemicals: Alkalies and Chlorine,,,325181,2010,,,
34,United States,325182,Chemicals: Carbon Black,,,325182,2010,,,
35,United States,325188,Chemicals: Other Basic Inorganic Chemicals,,,325188,2010,6266.7,12.8,8.5
36,United States,325192,Chemicals: Cyclic Crudes and Intermediates,,,325192,2010,17409.4,15.6,8.5
37,United States,325193,Chemicals: Ethyl Alcohol,,,325193,2010,40003.6,57.9,15.6
38,United States,325199,Chemicals: Other Basic Organic Chemicals,,,325199,2010,10450.3,,
39,United States,325211,Chemicals: Plastics Materials and Resins,,,325211,2010,8582.5,17.3,6.2
