seq_id,geo_id,geography,hu_type,years,tot_hu,tot_consum,tot_elec,tot_ng,tot_prpn,tot_foil,tot_krsn,avg_consum,avg_elec,avg_ng,avg_prpn,avg_foil,avg_ksne
1,0,United States,Total Households,2009,113.6,10.183,4.388,4.694,0.492,0.584,0.024,89.6,38.6,67.8,42.4,76.4,14.5
2,0,United States,Single-Family,2009,78.6,8.142,3.436,3.798,0.423,0.473,0.012,103.6,43.7,75.5,45.9,85.1,10.8
3,0,United States,Single-Family Detached,2009,71.8,7.595,3.229,3.502,0.415,0.439,0.011,105.7,44.9,76.8,46.0,85.6,10.4
4,0,United States,Single-Family Attached,2009,6.7,0.546,0.207,0.296,0.007,0.035,,81.3,30.8,63.2,38.6,78.8,
5,0,United States,Multi-Family,2009,28.1,1.57,0.636,0.805,0.021,0.107,,55.8,22.6,47.0,33.1,54.2,
6,0,United States,Apartments in 2-4 Unit Buildings,2009,9.0,0.686,0.22,0.412,0.011,0.043,,76.1,24.4,67.3,52.0,59.9,
7,0,United States,Apartments in 5 or More Unit Buildings,2009,19.1,0.884,0.416,0.393,0.01,0.064,,46.3,21.8,35.7,23.8,50.9,
8,0,United States,Mobile Homes,2009,6.9,0.472,0.316,0.091,0.049,0.004,0.011,67.9,45.6,50.6,27.6,36.7,23.7
9,1,Northeast,Total Households,2009,20.8,2.235,0.573,1.064,0.079,0.503,0.016,107.6,27.6,77.3,38.0,80.3,30.0
10,1,Northeast,Single-Family,2009,12.7,1.607,0.427,0.712,0.066,0.395,0.006,126.9,33.8,95.4,39.8,92.8,20.2
11,1,Northeast,Single-Family Detached,2009,10.9,1.421,0.375,0.613,0.064,0.364,0.005,130.9,34.6,99.5,40.0,93.5,19.8
12,1,Northeast,Single-Family Attached,2009,1.8,0.185,0.052,0.099,,0.031,,102.5,28.8,75.8,,84.9,
13,1,Northeast,Multi-Family,2009,7.6,0.587,0.13,0.347,0.006,0.104,,77.4,17.1,55.9,31.4,54.5,
14,1,Northeast,Apartments in 2-4 Unit Buildings,2009,3.1,0.3,0.061,0.193,0.003,0.042,,95.4,19.6,76.3,35.8,59.8,
15,1,Northeast,Apartments in 5 or More Unit Buildings,2009,4.4,0.288,0.068,0.154,0.002,0.063,,64.7,15.4,41.9,26.3,51.5,
16,1,Northeast,Mobile Homes,2009,0.5,0.041,0.016,,0.007,0.004,0.009,79.2,29.9,,30.1,38.6,42.9
17,2,New England,Total Households,2009,5.5,0.622,0.141,0.222,0.021,0.233,0.005,112.8,25.6,77.9,30.3,91.2,32.4
18,353,Massachusetts,Total Households,2009,2.5,0.271,0.059,0.134,0.006,0.072,,109.4,23.8,77.9,33.9,90.3,
